Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
TFSC,1347 Capital Corp.,9.53,$56.68M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfsc
TFSCR,1347 Capital Corp.,0.3502,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfscr
TFSCU,1347 Capital Corp.,10.02,$41.88M,2014,n/a,n/a,http://www.nasdaq.com/symbol/tfscu
TFSCW,1347 Capital Corp.,0.2,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfscw
PIH,"1347 Property Insurance Holdings, Inc.",7.7025,$48.97M,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pih
FLWS,"1-800 FLOWERS.COM, Inc.",7.88,$505.69M,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws
FCTY,"1st Century Bancshares, Inc",6.5,$65.95M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcty
FCCY,1st Constitution Bancorp (NJ),11,$78.48M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy
SRCE,1st Source Corporation,29.73,$709.42M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce
VNET,"21Vianet Group, Inc.",16.55,$1.09B,2011,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet
TWOU,"2U, Inc.",17.79,$721.24M,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou
DGLD,3X Inverse Gold ETN Velocityshares,59.55,$8.1M,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/dgld
JOBS,"51job, Inc.",35.21,$2.08B,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs
SIXD,"6D Global Technologies, Inc.",6.75,$520.2M,n/a,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/sixd
EGHT,8x8 Inc,7.71,$692.88M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght
AVHI,"A V Homes, Inc.",14.99,$331.23M,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi
SHLM,"A. Schulman, Inc.",34.85,$1.01B,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm
AAON,"AAON, Inc.",21.81,$1.19B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon
ABAX,"ABAXIS, Inc.",61.48,$1.39B,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax
ABY,Abengoa Yield plc,32.92,$2.63B,2014,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/aby
ABGB,"Abengoa, S.A.",14.68,$2.47B,2013,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/abgb
ABMD,"ABIOMED, Inc.",51.74,$2.12B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd
AXAS,Abraxas Petroleum Corporation,2.96,$311.92M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas
ACTG,Acacia Research Corporation,12.52,$627.51M,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg
ACHC,"Acadia Healthcare Company, Inc.",57.7499,$3.46B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc
ACAD,ACADIA Pharmaceuticals Inc.,30.43,$3.04B,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad
ACST,"Acasti Pharma, Inc.",0.46,$48.96M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst
AXDX,"Accelerate Diagnostics, Inc.",21.5,$959.11M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx
XLRN,Acceleron Pharma Inc.,39.47,$1.27B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn
ANCX,Access National Corporation,17.86,$186.68M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx
ARAY,Accuray Incorporated,7.37,$573.76M,2007,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray
ACRX,"AcelRx Pharmaceuticals, Inc.",6.7,$292.84M,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx
ACET,Aceto Corporation,19.4,$563.86M,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/acet
AKAO,"Achaogen, Inc.",11.7,$207.77M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akao
ACHN,"Achillion Pharmaceuticals, Inc.",14.85,$1.49B,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn
ACIW,"ACI Worldwide, Inc.",18.47,$2.12B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw
ACNB,ACNB Corporation,20.02,$120.35M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/acnb
ACOR,"Acorda Therapeutics, Inc.",41.55,$1.74B,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor
ACFN,"Acorn Energy, Inc.",0.52,$13.77M,n/a,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/acfn
ACTS,"Actions Semiconductor Co., Ltd.",1.92,$165.12M,2005,Technology,Semiconductors,http://www.nasdaq.com/symbol/acts
ACPW,"Active Power, Inc.",1.8,$41.56M,2000,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/acpw
ATVI,"Activision Blizzard, Inc",20.895,$15.02B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi
ACTA,Actua Corporation,16.1,$653.36M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acta
ACUR,"Acura Pharmaceuticals, Inc.",0.55,$26.87M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acur
ACXM,Acxiom Corporation,18.2,$1.4B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm
ADMS,"Adamas Pharmaceuticals, Inc.",16.83,$288.23M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adms
ADMP,Adamis Pharmaceuticals Corporation,6.82,$88.33M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/admp
ADUS,Addus HomeCare Corporation,22.18,$243.76M,2009,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/adus
AEY,"ADDvantage Technologies Group, Inc.",2.3101,$23.2M,n/a,Consumer Services,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/aey
ADEP,"Adept Technology, Inc.",9.3,$121.83M,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/adep
ADMA,ADMA Biologics Inc,10.8,$100.35M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adma
ADBE,Adobe Systems Incorporated,70.13,$34.95B,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe
ADTN,"ADTRAN, Inc.",22.11,$1.2B,1994,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/adtn
ADES,"Advanced Emissions Solutions, Inc.",10.605,$230.44M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ades
AEIS,"Advanced Energy Industries, Inc.",24,$962.32M,1995,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeis
AMD,"Advanced Micro Devices, Inc.",2.57,$1.99B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amd
ADXS,"Advaxis, Inc.",9.85,$232.9M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxs
ADXSW,"Advaxis, Inc.",5.98,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxsw
ADVS,"Advent Software, Inc.",41.85,$2.16B,1995,Technology,EDP Services,http://www.nasdaq.com/symbol/advs
MULT,Advisorshares Trust-Advisorshares Sunrise Global Multi-Strateg,23.6899,$2.37M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mult
YPRO,AdvisorShares YieldPro ETF,24.08,$68.63M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ypro
AEGR,"Aegerion Pharmaceuticals, Inc.",23.22,$660.28M,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aegr
AEGN,Aegion Corp,15.32,$572.69M,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/aegn
AEHR,Aehr Test Systems,2.66,$33.71M,1997,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/aehr
AMTX,"Aemetis, Inc",3.89,$80.18M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amtx
AEPI,AEP Industries Inc.,50.11,$254.59M,1986,Capital Goods,Specialty Chemicals,http://www.nasdaq.com/symbol/aepi
AERI,"Aerie Pharmaceuticals, Inc.",27.96,$670.61M,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aeri
AVAV,"AeroVironment, Inc.",25.59,$596.81M,2007,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/avav
AEZS,AEterna Zentaris Inc.,0.53,$34.72M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aezs
AFMD,Affimed N.V.,5.69,$136.47M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/afmd
AFFX,"Affymetrix, Inc.",11.04,$812.36M,1996,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/affx
AGEN,Agenus Inc.,5.03,$315.3M,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/agen
AGRX,"Agile Therapeutics, Inc.",8.7,$174.1M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agrx
AGYS,"Agilysys, Inc.",10.38,$236.81M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/agys
AGIO,"Agios Pharmaceuticals, Inc.",115.92,$4.29B,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agio
AIRM,Air Methods Corporation,41.55,$1.63B,n/a,Transportation,Transportation Services,http://www.nasdaq.com/symbol/airm
AIRT,"Air T, Inc.",20.31,$47.83M,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/airt
ATSG,"Air Transport Services Group, Inc",8.33,$540.95M,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/atsg
AMCN,AirMedia Group Inc,2.17,$129.26M,2007,Technology,Advertising,http://www.nasdaq.com/symbol/amcn
AIXG,Aixtron SE,7.85,$875.61M,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aixg
AKAM,"Akamai Technologies, Inc.",58.155,$10.35B,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/akam
AKBA,"Akebia Therapeutics, Inc.",10.27,$208.9M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akba
AKER,Akers Biosciences Inc,3.5405,$17.54M,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/aker
AKRX,"Akorn, Inc.",42.58,$4.59B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akrx
ALSK,"Alaska Communications Systems Group, Inc.",1.78,$88.18M,1999,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/alsk
AMRI,"Albany Molecular Research, Inc.",16.33,$532.47M,1999,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/amri
ABDC,Alcentra Capital Corp.,12.86,$173.83M,2014,n/a,n/a,http://www.nasdaq.com/symbol/abdc
ADHD,Alcobra Ltd.,6.17,$130.67M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adhd
ALDR,"Alder BioPharmaceuticals, Inc.",27.08,$1.02B,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldr
ALDX,"Aldeyra Therapeutics, Inc.",12.1,$67.34M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldx
ALXN,"Alexion Pharmaceuticals, Inc.",183.24,$36.33B,1996,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxn
ALXA,"Alexza Pharmaceuticals, Inc.",2.122,$41.18M,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxa
ALCO,"Alico, Inc.",47.54,$350.38M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/alco
ALGN,"Align Technology, Inc.",53.05,$4.26B,2001,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/algn
ALIM,"Alimera Sciences, Inc.",5.43,$240.53M,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alim
ALKS,Alkermes plc,72.25,$10.57B,1991,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alks
ALGT,Allegiant Travel Company,181.27,$3.17B,2006,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/algt
ALLB,"Alliance Bancorp, Inc. of Pennsylvania",17.5,$70.48M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/allb
AFOP,"Alliance Fiber Optic Products, Inc.",14.48,$270.09M,2000,Technology,Semiconductors,http://www.nasdaq.com/symbol/afop
AIQ,"Alliance HealthCare Services, Inc.",22.54,$241.96M,2001,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aiq
AHGP,"Alliance Holdings GP, L.P.",58.9,$3.53B,2006,Energy,Coal Mining,http://www.nasdaq.com/symbol/ahgp
ARLP,"Alliance Resource Partners, L.P.",39.79,$2.95B,1999,Energy,Coal Mining,http://www.nasdaq.com/symbol/arlp
AHPI,"Allied Healthcare Products, Inc.",1.55,$12.44M,1992,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/ahpi
AMOT,"Allied Motion Technologies, Inc.",22.42,$206.83M,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/amot
ALQA,"Alliqua BioMedical, Inc.",4.98,$80.54M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/alqa
ALLT,Allot Communications Ltd.,9.01,$299.55M,2006,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/allt
MDRX,"Allscripts Healthcare Solutions, Inc.",11.91,$2.15B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/mdrx
AFAM,Almost Family Inc,30.36,$287.69M,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/afam
ALNY,"Alnylam Pharmaceuticals, Inc.",93.83,$7.69B,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alny
AOSL,Alpha and Omega Semiconductor Limited,8.77,$231.98M,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/aosl
ATEC,"Alphatec Holdings, Inc.",1.28,$127.48M,2006,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atec
ALTR,Altera Corporation,32.925,$10.04B,1988,Technology,Semiconductors,http://www.nasdaq.com/symbol/altr
ASPS,Altisource Portfolio Solutions S.A.,20.2,$409.49M,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/asps
APSA,Alto Palermo S.A.,22.6,$711.98M,n/a,Consumer Services,Building operators,http://www.nasdaq.com/symbol/apsa
AIMC,Altra Industrial Motion Corp.,25.55,$680.53M,2006,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aimc
AMAG,"AMAG Pharmaceuticals, Inc.",44.19,$976.37M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amag
AMRN,Amarin Corporation PLC,1.02,$178.1M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amrn
AMRK,"A-Mark Precious Metals, Inc.",10.45,$72.76M,n/a,Basic Industries,Other Specialty Stores,http://www.nasdaq.com/symbol/amrk
AMZN,"Amazon.com, Inc.",354.53,$164.15B,1997,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/amzn
AMBC,"Ambac Financial Group, Inc.",24.45,$1.1B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambc
AMBCW,"Ambac Financial Group, Inc.",13.65,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambcw
AMBA,"Ambarella, Inc.",55.31,$1.68B,2012,Technology,Semiconductors,http://www.nasdaq.com/symbol/amba
EPAX,"Ambassadors Group, Inc.",2.52,$42.95M,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/epax
AMCX,AMC Networks Inc.,66.7,$4.81B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/amcx
DOX,Amdocs Limited,48.18,$7.51B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/dox
AMDA,Amedica Corporation,0.672,$9.27M,2014,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/amda
AMED,Amedisys Inc,28.18,$940.66M,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amed
UHAL,Amerco,286.11,$5.61B,n/a,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/uhal
